Title,Author,Status,Format,Genres,Mood,Year,Rating
The White Album,Joan Didion,Owned,Audiobook,Nonfiction; Classic Literature,Slow & Contemplative,1979,
Slouching Towards Bethlehem,Joan Didion,Owned,Audiobook,Nonfiction; Classic Literature,Thought-provoking; Suspenseful,1967,
Remarkably Bright Creatures,Shelby Van Pelt,Owned,Audiobook,Fiction,Cozy; Bittersweet,2022,
Generative AI,Harvard Business Review,Owned,Audiobook,Nonfiction,Thought-provoking,2024,
Raising Mentally Strong Kids,Daniel G. Amen; Charles Fay,Owned,Audiobook,Nonfiction,Uplifting,2024,
The Hobbit (Dramatised),J. R. R. Tolkien,Owned,Audiobook,Fantasy; Poetry & Drama,Adventurous; Cozy,1937,
From the Wizarding Archive,J. K. Rowling,Owned,Audiobook,Fantasy,Adventurous; Nostalgic,,
Pirate Stew,Neil Gaiman; Chris Riddell,Owned,Audiobook,Children's; Fiction,Whimsical,2020,
Nexus,Yuval Noah Harari,Owned,Audiobook,Nonfiction,Thought-provoking,2024,
Dopamine Detox,Thibaut Meurisse,Owned,Audiobook,Self-Help,Uplifting,2021,
Bridget Jones's Diary,Helen Fielding,Owned,Audiobook,Romance; Comedy,Cozy,1996,
Paddington at Work,Michael Bond,Owned,Audiobook,Comedy; Children's,Cozy; Whimsical,1966,
Neverwhere,Neil Gaiman,Owned,Audiobook,Fantasy; Poetry & Drama,Adventurous; Dark & Moody,1996,
Fourth Wing,Rebecca Yarros,Owned,Audiobook,Fantasy; Romance,Adventurous; Fast-paced,2023,
The Sun and the Star,Rick Riordan; Mark Oshiro,Owned,Audiobook,Fantasy; Mythology,Adventurous; Bittersweet,2023,
The Other Bennet Sister,Janice Hadlow,Owned,Audiobook,Romance; Historical Fiction,Cozy,2020,
BBC Radio Shakespeare: A Collection of Eight Comedies,William Shakespeare,Owned,Audiobook,Poetry & Drama; Comedy,Whimsical,1975,
BBC Radio Shakespeare: A Collection of Six Tragedies,William Shakespeare,Owned,Audiobook,Poetry & Drama; Classic Literature,,1603,
The Thursday Murder Club,Richard Osman,Owned,Audiobook,Mystery & Thriller; Comedy,Cozy,2020,
The Correspondent,Virginia Evans,Owned,Audiobook,Classic Literature; Fiction,Bittersweet,2025,
Yesteryear,Caro Claire Burke,Owned,Audiobook,Classic Literature; Fiction,Thought-provoking,2026,
The Crossing,Andrew Miller,Owned,Audiobook,Classic Literature; Historical Fiction,,2015,
A Confederacy of Dunces,John Kennedy Toole,Owned,Audiobook,Comedy; Classic Literature,Whimsical,1980,
Italo Calvino: A BBC Radio Collection,Italo Calvino,Owned,Audiobook,Fantasy; Classic Literature,Whimsical,,
The Wind in the Willows,Kenneth Grahame,Owned,Audiobook,Classic Literature,Cozy,1908,
Braiding Sweetgrass,Robin Wall Kimmerer,Owned,Audiobook,Nonfiction,Thought-provoking,2013,
We Have Always Lived in the Castle,Shirley Jackson,Owned,Audiobook,Gothic,Dark & Moody; Suspenseful,1962,
The Haunting of Hill House,Shirley Jackson,Owned,Audiobook,Gothic,Dark & Moody,1959,
The Blue Castle,L. M. Montgomery,Owned,Audiobook,Romance,Cozy; Uplifting,1926,
Vera Wong’s Unsolicited Advice for Murderers,Jesse Sutanto,Owned,Audiobook,Mystery & Thriller,Cozy,2023,
Everything All at Once,Bill Nye,Owned,Audiobook,Nonfiction,Thought-provoking,2017,
The Canterbury Tales,Geoffrey Chaucer,Owned,Audiobook,Comedy; Classic Literature,,1478,
Hyperion,Dan Simmons,Owned,Audiobook,Sci-Fi; Classic Literature,Adventurous,1989,
The Grapes of Wrath,John Steinbeck,Owned,Audiobook,Classic Literature; Historical Fiction,,1939,
Wuthering Heights,Emily Brontë,Owned,Audiobook,Romance; Gothic,Dark & Moody,1846,
The Secret Garden,Frances Hodgson Burnett,Owned,Audiobook,Classic Literature,Cozy,1911,
The Cruel Prince,Holly Black,Owned,Audiobook,Fantasy,,2018,
The Tales of Beedle the Bard,J. K. Rowling,Owned,Audiobook,Fantasy,,2008,
A Psalm for the Wild-Built,Becky Chambers,Owned,Audiobook,Sci-Fi,Cozy; Uplifting,,
The Little Prince,Antoine de Saint-Exupéry,Owned,Audiobook,Philosophy; Classic Literature,Heartwarming; Thought-provoking,1943,
The Canterville Ghost,Oscar Wilde,Owned,Audiobook,Gothic; Comedy,Dark & Moody; Whimsical,1887,
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Owned,Audiobook,Fantasy,Cozy; Bittersweet,2015,
Tales from the Cafe,Toshikazu Kawaguchi,Owned,Audiobook,Fantasy,Cozy; Bittersweet,2015,
The Paris Library,Janet Skeslien Charles,Owned,Audiobook,Classic Literature; Historical Fiction,,2020,
The Great Hunt,Robert Jordan,Owned,Audiobook,Fantasy,Adventurous,1990,
The Dragon Reborn,Robert Jordan,Owned,Audiobook,Fantasy,Adventurous,1991,
The Body,Bill Bryson,Owned,Audiobook,Nonfiction,Thought-provoking,2019,
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Owned,Audiobook,Fiction,Cozy,2019,
Zen: The Art of Simple Living,Shunmyo Masuno,Owned,Audiobook,Self-Help,,2019,
The Natural Navigator,Tristan Gooley,Owned,Audiobook,Fiction,,2010,
The Midnight Library,Matt Haig,Owned,Audiobook,Fiction,Thought-provoking; Uplifting,2020,
A Thousand Ships,Natalie Haynes,Owned,Audiobook,Mythology,Adventurous,2019,
Sword of Slaughter,Kalki R. Krishnamurthy,Owned,Audiobook,Historical Fiction,Adventurous,2007,
Whirlwinds,Kalki Krishnamurthy,Owned,Audiobook,Historical Fiction,Adventurous,2000,
"Life, the Universe, and Everything",Douglas Adams,Owned,Audiobook,Sci-Fi; Comedy,,1982,
Lincoln in the Bardo,George Saunders,Owned,Audiobook,Classic Literature; Historical Fiction,,2017,
Down and Out in Paris and London,George Orwell,Owned,Audiobook,Nonfiction,,1933,
